# Energy [MeV] - sigma [mb] - sigma_err [mb]
10 	3.51 	33.33 
11 	14.21 	31.93 
11.5 	71.75 	21.75 
12.2 	79 	20
12.5 	75.44 	20 
13.5 	16.85 	18.25 
14.5 	14.04 	19.65 
15 	80.88 	21.04 
16 	94.74 	21.52 
16.5 	80.52 	22.11 
17 	84.21 	21.05 
17.5 	65.26 	19.3 
18 	77.37 	21.05 
18.5 	87.02 	19.64 
19 	71.75 	19.3 
19.5 	61.4 	20.88 
20 	8.07 	22.11 
20.5 	50.88 	20 
21 	68.6 	23 
21.5 	81.75 	18.24 
22 	33.33 	24.56 
22.5 	25.96 	21.03 
23 	1.05 	26.32 
24 	26.7 	22.81 
24.5 	4.56 	24.56 
25 	25.26 	24.56 
25.5 	-1.75 	21.05 
26.5 	2.46 	28.77 
