# Energy [MeV] - sigma [mb] - sigma_err [mb]
10 	0.57 	0.105 
10.5 	0.878 	0.114 
11 	0.892 	0.123 
11.5 	1.362 	0.1 
12 	1.42 	0.127 
12.5 	1.669 	0.11 
13 	2.064 	0.141 
13.5 	2.42 	0.133 
14 	1.757 	0.088 
14.5 	2.723 	0.11 
15 	3.162 	0.097 
15.5 	3.074 	0.106 
16 	3.314 	0.149 
16.5 	3.614 	0.15 
17 	3.426 	0.169 
17.5 	3.513 	0.14 
18 	3.953 	0.134 
18.5 	3.614 	0.132 
19 	4 	0.13 
19.5 	3.513 	0.127 
20 	3.6 	0.13 
20.5 	3.69 	0.158 
21 	3.162 	0.136 
21.5 	3.217 	0.154 
22 	3.25 	0.134 
22.5 	3.426 	0.131 
23 	2.986 	0.123 
23.5 	2.284 	0.115 
24 	2.84 	0.098 
24.5 	2.859 	0.11 
25 	3.06 	0.107 
25.5 	2.945 	0.124 
26 	2.768 	0.129 
26.5 	3.426 	0.132 
27 	3.338 	0.133 
27.5 	2.99 	0.13 
28 	3.371 	0.14 
28.5 	3.162 	0.142 
29 	3.25 	0.15 
29.5 	2.547 	0.132 
30 	2.9 	0.13 
30.5 	3.1 	0.132 
31 	2.84 	0.154 
31.5 	3.1 	0.134 
32 	2.65 	0.149 
32.5 	3.074 	0.133 
33 	3.194 	0.153 
33.5 	3.34 	0.162 
34 	2.81 	0.134 
34.5 	3.074 	0.176 
35 	2.77 	0.149 
35.5 	3.074 	0.154 
36 	2.79 	0.158 
36.5 	2.734 	0.176 
37 	3.162 	0.167 
37.5 	2.81 	0.158 
38 	2.66 	0.162 
38.5 	2.679 	0.184 
39 	2.46 	0.169 
39.5 	2.338 	0.154 
40 	2.42 	0.155 
40.5 	2.284 	0.16 
41 	2.3 	0.174 
41.5 	2.1 	0.161 
42 	2.28 	0.13 
42.5 	2.129 	0.16 
43 	1.89 	0.173 
43.5 	1.658 	0.167 
44 	1.932 	0.18 
44.5 	1.58 	0.176 
45 	2 	0.176 
45.5 	1.58 	0.18 
46 	1.14 	0.2 
46.5 	1.49 	0.22 
47 	1.99 	0.187 
47.5 	0.97 	0.15 
48 	1.1 	0.26 
48.5 	1.362 	0.23 
49 	0.746 	0.2 
49.5 	0.878 	0.264 
50 	1.543 	0.18 
50.5 	1.537 	0.29 
51 	2.1 	0.1 
52 	1.86 	0.177 
52.5 	1.493 	0.256 
53 	1.58 	0.173 
53.5 	1.758 	0.283 
54 	1.669 	0.237 
54.5 	1.36 	0.26 
55 	1 	0.3 
56 	1.01 	0.28 
56.5 	1.14 	0.26 
57 	1.17 	0.27 
57.5 	1.75 	0.285 
58 	1.669 	0.26 
58.5 	1.21 	0.264 
59 	1.2 	0.26 
59.5 	1.186 	0.254 
60 	0.439 	0.26 
61 	1.32 	0.245 
61.5 	1.361 	0.256 
62 	1.037 	0.26 
62.5 	0.64 	0.25 
63.5 	1.14 	0.22 
64 	1.142 	0.22 
64.5 	1.05 	0.239 
65 	0.97 	0.24 
65.625 	0.878 	0.23 
66.5 	1.274 	0.22 
66.875 	1.39 	0.214 
67.5 	0.7 	0.25 
68.125 	1.142 	0.242 
68.75 	0.44 	0.3 
69.375 	0.44 	0.28 
70 	0.9 	0.264 
70.625 	0.615 	0.24 
71.25 	1.01 	0.272 
71.875 	0.176 	0.25 
72.5 	1.318 	0.3 
73.125 	0.615 	0.176 
74.375 	1.32 	0.264 
75 	0.7 	0.2 
75.625 	0.8 	0.36 
76.25 	0.527 	0.19 
76.875 	0.44 	0.29 
